Comentary,Feeling
Not a lot of growth,0
"Company culture, mental health, fertility resources, great pto, bonus structure, free product, parties,",1
It was a really supportive work environment with a lot of room for growth and opportunity!,1
I had really nice coworkers and I liked my managers.  Good employee discount.,1
Low pay for all the hard work,0
"I passed up other, much better paying opportunities for a position that was not as it was purported to be in description or how it was described in my multiple interviews. The department has various issues with organization, compliance, and constant power struggles. Things as minor as a weekly schedule for all employees are unsurmountable tasks for management. Pay and benefits seem ok compared to other companies in the rural town but are not comparable for other companies of its standing. Expect them to want significant experience and a degree but don't want to pay much over minimum wage. Human Resources does not serve employees but seems to only side with management and the company as well as cover up or ignore internal issues when convenient for them, even when those issues involve health and safety. The job has a lot of potential but they need to clean house and fix some internal problems before this will be a desirable job.",0
A fun job when you have a great team around you,1
"Good culture, employee wellbeing, work from home 2 days a week",1
"Paid vacation, full medical insurance coverage",1
"Unfair dismissal a common practice, arrogant management, bad communication, ridiculous and hypocritical behaviours.",0
"* You can't expect things to be handed to you at TOMS. Since the company is fairly young, there isn't really a ""corporate ladder"" in place to climb. Generally speaking, you have to work hard, prove yourself and speak up constantly to be promoted...but isn't that the case anywhere?

* Career development resources are available, but they're not well advertised. 

* There is a vibe that the company lacks transparency, but what it actually struggles with is timely communication. Thankfully this appears to be changing.

* Leadership is admittedly something of a mess right now and has been for the past year and a half. Playing devil's advocate though- can we really expect anything less from a period in the company's history that saw the departure of its President and the on-boarding of major financial partners?",0
Chill / laid back / easiest hospo gig I have faced,1
Not commission based for sales,0
"Meeting co-workers that becomes your friends and the company focuses on education a lot. They offer 2 seminars each year for new product launches, business review, etc. Most of the time you get free products right after. They have mentoring and coaching program for Keyholders only. Lots of contest through out the region. They like to promote internally.",1
fulfilling work. good benefits. thorough training. nice teamwork dynamic.,1
Targets can be very high when in a high traffic store,0
"Some good people still work there, and for some reason it’s still respected in the design industry",1
Nice sense of community in the team.,1
More product knowledge training atleast 3x a year,0
".....……
Coursera is startup so not many cons, still figuring out the processes 
Not many still a startup so let it grow",0
Great benefits including giving trips.,1
"Lack of business investment in systems or It support in critical business area's. Excel is overused and making your day to day tasks more difficult. 

No structure or process for career development which links to pay rises. Brewdog burns vast amounts on large marketing or international expansion projects, but do not provide staff with pay rises. You can receive pay rises but depends on if your face fits. 

No annual pay rises to match inflation. 

In some cases job descriptions are not followed, they can be changed without being documented. If this happens there is no link to pay progression or career development. 

Longer serving staff members are treated different to shorter staff members. Meaning you can be treated unfairly based on time served. 

High expectations on improvements, projects and solutions, however workload not taken into consideration or additional resource acquired to achieve this. 

Reactive last minute scrappy mentality approach to projects/process which link to your individual tasks is company culture. Meaning there is no or lack of basic process, this makes managing your workload difficult and more stressful. 

High level projects or actions come from the top & are spread by weak management who entertain the owners requests and spread the grey actions throughout the business. 

Company does not work to IS9001 throughout the business meaning there is no strong QMS which encompasses and drives process and continual improvement in all business areas. 

Long working hours with no overtime. You can end up with a large workload which can't be completed in your standard working hours, meaning you have to stay late. You will not be payed overtime for your hard work which for office staff is written in your contact. If your concerns are escalated to management you may be ignored. 

Poor leadership and high turnover of staff in senior management positions. This is also for staff in lower level positions. Whenever this happens senior management/management say 'They wasn't the right fit for Brewdog'. This is a ridiculous statement everyone can be wrong. It would make it a better company to address the issues rather than use this excuse. 

If someone leaves in most cases the jobs are not back filled, the extra workload is pushed on to other members of staff. This has a knock on effect, will make you want to look for a new job. 

The way the business operates may not get the best out of your experience. It can also hinder your development due to the poor working environment. 

Unfair pay between different departments.

HR non-existent they only appear at the end for your exit interview, I didn't find them approachable. 

They will look external for staff rather than develop and promote from within.",0
* sometimes product team is spread too thin across multiple projects when focus on a few is warranted,0
Nice culture. good cause. Good vision,1
low pay and limited career advancement,0
"A bit disorganised
Average pay
Managers without much experience",0
"-restricted hours
-Restricted hours
-Fraternization 
-Neglectful
-no room for growth",0
Not many if any at alls.,1
"Sexism Incompetence from leadership No initiative from HR to protect employees, even after years of department departures and complaints Company has no direction, they say they support giving but at the end of the day it’s a for profit company and they’re chasing the profit but looking in all the wrong places. Employee benefits getting worse year after year due to cost cutting Yearly layoffs",0
"Awesome company to work for! They offer great benefits, a core mission that employees actively participate in, and overall attracts high quality people.",1
"slow operation, incompetent people, wavering strategy",0
One of the best places you can be if you love education and technology. Small teams make it easy to move fast and make a big impact. The people are awesome and are very fun to work with. Flexible working hours.,1
"Location, Opportunity to Grow in terms of salary and career, Innovation, Working from remote",0
"Salary - Living Wage, great benefits, generous holidays, healthcare
Really nice working environment - the bars and offices are really nice to spend time in
Senior managers - approachable, always asking for opinions and ideas, seem genuinely interested
Challenge - it's not a place where you can come in and sleepwalk through the day, you have to think all the time, and its quite often hard, but it's definitely interesting
Opportunities - there seem to be loads of chances for people to progress here, lots of people who are senior managers now who started in junior roles.  Training is always on offer for people who want it.",1
Have a good discounts and free products etc. benefit package is average pretty much every retailers giving the same.,1
"Everything else is bad there, avoid the place.",0
You have a little pressure to meet sales goals,0
No losses very great and perfect company,0
great work/life balance for most,1
Would have wished there to be a bonus of sort when you hit your goal,0
"Fast paced, long lines, can be stressful",0
Didn't get as many hours as I really needed.,0
Closed and didn't tell us until day of,0
"Lack of staff. Lack of schedule flexibility. Lack of presence from higher management. Lack of follow through. Zero work life balance. They expect for Aesop to be your life without saying it. Definitely a hierarchical  company although it likes to say its not.  Staff on the ground are great, the company however reeks of elitism.",0
6 hour shifts max length,0
Could have used more clarity on the projects I was assigned as far as appropriate time commitment and investment. Little bit of a disconnect between how hard the interns were working and what the managers thought the project would entail.,0
I cannot think of any pros.,1
I love the clothes I feel like I'll bring in a lot of customers and I'm great with people,1
"had financial hardships, but going better.",0
"- Flexibility
- Varierty of events
- Good tips",1
Slow days are difficult to get through and holidays are rough.,0
good work culture working there,1
The long hours of the shift,0
No room for growth & lack of diversity.,0
"There have been a number of major changes in the past year, including a CEO transition, a massive restructuring, and departures of a number of managers.  It's made the past several months more chaotic, but it seems like we're starting to settle into a more collaborative and focused operational cadence.  There are certainly areas where we could improve in terms of culture -- ivy league graduates are massively overrepresented, for example, and like most tech companies diversity could be much better -- but people at Coursera, especially executives, take these problems very seriously and I find the focus on improving these areas encouraging.  While there has been a lot of change in the past year, I think the changes to company direction and organizational structure will be good things in the long run, and we're already starting to see the increased strategic focus, operational discipline, and alignment of our resourcing with the needs or our partners and learners paying off.  Overall, I'm optimistic for Coursera's future and for my future at Coursera.",0
"Favoritism. If you're not favored, there is no growth. Lots of talk/sessions about career development but no actual growth save a few people. People lead projects because they are favored, implement bad solutions and get recognition because they don't look at actual outcome. There is a high level of distrust with leadership and rightfully so. Management creates an environment of distrust. People are competing with each other for recognition and to save their jobs. People are afraid to speak up in fear of being blatantly targeted.

Parking situation is horrible.",0
Management changed often. Rude higher ups,0
Unfair suggested hours from division management,0
Nothing comes to mind when asked about the bad things about working for BrewDog!,0
"WFH policy, pay is competitive, people are nice",1
"Everyone wants to work for SNBC, so they can get away with paying people less than their position may pay at other companies.",0
I enjoyed my time with my employer and managers. There are no cons.,0
staff is quite old. I think they should conduct meetings and plan it before hand .,0
Not enough hours as a freelancer,0
"Very team orientated
Positive management (Gives constructive criticism, listens and offers suggestions from their employees)
Great training",1
i dont really have any cons,0
Can be seen as cult-like with dress code and ways of interacting.,0
"Fast paced, friendly and open culture with great management team",1
Good staff allowance per year,1
None at all I can think of,0
Not enough free samples for me,0
"occasionally disorganized, but everything ended up working out with better communication",0
"The pressure is on at all times to deliver
Young, not very experienced managers, who are not ready to manage teams.",0
Low salaries for what’s expected of you. Hard to sustain a living on their full-time salary.,0
"Micromanaging, little growth and overall poor management.",0
"Amazing product line. 
The product line works like it said.
free gratius",1
project management and stakeholder management,0
"Too many “projects”
Lots of meetings",0
Amazing office and work culture with a lot of perks and consideration for the employees experience. Access to great discounts and free products.,1
Great Mission attracts great people,1
Lack of hours in certain times of year,0
Work life balance is almost 0 really late finishes,0
"Living Wage
Bonus scheme
Training is top in the field
They hire a lot of cool people so you make good friends
Genuinely believe some management are trying their hardest, just very inexperienced with an inexperienced CEO who tends to make decisions on a whim.",1
"Low pay, busy, makes you fat",0
"- air-conditioned
- ate lots of ice cream
- easy interview/application process
- nice co-workers",1
there are very strict rules,0
The work environment is calm but the shifts can be long and stressful specially on the weekend,1
"* Challenges can be difficult to overcome, not an easy startup to be in",0
Pay could be better but a job,0
"Other part time workers were great people.

Some Sierra Nevada employees are nice and want to provide a great experience for everyone that is involved.",1
Easy job for what it is,1
Low levels of management involvement. You can Instruct students per your style,1
great place to work forever,1
"Knowledgeable staff, product information always available.",1
Scooping ice cream for hours straight starts to hurt.,0
"Lots of training required, takes roughly 6 months - 1 year to become comfortable",0
"Really fun environment, really good pay (& free samples whenever you want)",1
"great tips, really fun people",1
- Small shop easy to maintain,1
"Great work environment, wicked smart (and young) coworkers, widesperad experience",1
Maybe a little too friendly,0
fun team members to work with,1
"No complaints at all, and I've never been able to say that about an employer before :-D",0
"Each space is unique, and this makes for a stimulating environment in the beginning. Customers can be really lovely, and the brand is generous with its free product (gratis).",1
True commitment to the communities and walk the talk.,1
"- Happy Hour every Friday, if not every Friday then every other Friday 
- Giving trips - trips that allow employees to see how TOMS gives, thus far you really see shoe giving, eye sight giving is rare, and water/birth doesn't exist. 
- Coffee bar with barista in the mornings - lattes, cappucino, drip coffee, ice water, ice coffee and etc.  It mirrors our TOMS Roasting Co experience.  
- Outdoor area with wifi to work at - this is nice when you need vitamin D. 
- Option to stand and work - there are places but its becoming more and more rare.  
- Sofas and little areas to escape and do some work
- Hammocks outdoors 
- Fitness area that hold lunch classes - I've attended this on a rare occasion, they have 50 minute classes which let's you hop in showers but there are only 3 showers so you may have to wait your turn.  
- Showers and changing room areas - its small but we have it.  
- Employee Discounts and discounts with other like-minded brands - 50% off most items, there are some restrictions and we receive discounts through our employee portal that ranges in discounts. 
- Annual retreat that serves as team building - this turns into a party most of the time with alcohol and hook ups.  It's a young company and there are a lot of singles.  
- Nice open concept office - You can walk around and sit anywhere you want and work.  
- For the most part, people are very nice and friendly.  
- Career Opportunities - while its not fully transparent, it is possible but you have to know the right people and be in the right place.  Just like any other company.  If you are friends with the founder, you are in a fast track.",1
You'll meet some really great coworkers + meet interesting people from around the world,1
"- Everyone takes pride in their work and is inherently hard working, and there are moments where I see many of my colleagues getting burnt out by their workload, particularly people managers. 
- would like to see Aesop be known for being a competitive payer",0
The gratis was nice as well as the training seminars.,1
"Great experience, good company of people",1
"Company Culture
Not competitive
nice hours for retail",1
"- No group outings :(
- No 401(k) matching",0
"Lovely co-worker, great benefit, flexiable hours",1
"Considerate brand, ongoing individual development, and employee benefits.",1
Not always flexible with scheduling,0
They barely give you a raise and pay you very minimal,0
Good benefits and salary above average too,1
- Being around girls a lot,1
"Great corporate culture. Smart, loyal employees. Stylish corporate offices.",1
Opportunities were made available within the company to help during extremely busy online sales while the bars were closed. Surprise beer deliveries of recent to keep morale high!,1
low salary with no extra bonus.,0
"Free beer at the end of a shift, cicerone training",1
I loved working here. It provided everything I needed,1
"Management, management, management. The good thing about Ben & Jerry's is that it's a fun place to work, so employees stick around. The bad thing is that the wrong employees stick around. Lots of people who have worked there for years and don't have any motivation to do more than what they've been doing forever. MANY unqualified people in higher up positions; company promotes more on tenure than on experience. (Lots of employees have only worked at Ben & Jerry's their entire lives...yes this means they started as a scooper or tour guide. Wonderful, but that's not going to drive the company forward.) Lack of recognition for hard work. And very clique-y. The veterans don't like fresh talent coming in and messing with the stale status quo.",0
"Long working hours expected on a regular basis and work is not fun. 
Toxic culture in some departments and very hierarchical department structure
Junior employees are not being taken serious by seniors although their work is crucial for the company’s success
Unsubstantial, overly ambitious targets and constantly changing process and territory rules
No clear value prop for some business lines - product seen as too expensive
Too many internal meetings blocking off your late afternoon / early evening - leaving you with no other option but rescheduling or cancelling your personal plans

The perks and pay are decent, however would not recommend if your overall health and personal life is somehow important to you.",0
Very messy communications and unclear direction,0
"Very little free beer compared to other breweries in the area, too many people competing for the better job opportunities within the company, long wait for transfers to other departments, high turnover",0
pay was decent discount is great,1
"Good pay for area and beginning job
Amazing boss",1
Management can be more supportive,0
Great team relationship with management,1
It feels great to represent a brand that is so inspiring!,1
"Great wage, paid every two weeks, flexible hours, opportunity for development, great benefits, modern management.",1
I cannot think of any cons for working with this organization..,0
"Off season hours, but that's understandable.",0
"Lots of turnover in this transition period (people choose to leave), lots of uncertainty in how things are done.",0
Store discount Learn skincare essentials,1
"If the store is empty, then the job is really boring. You just have to stand around looking for more work to do (like shelving, cleaning, etc.) just to not die from boredom.
Some Kiehl's customers are pretty high-maintenance so they can be demanding, but generally the customers are great.
Only a small number of the staff can be full-time (thus earning ""enough"" money). I could not live off a part-time sales job salary. Impossible to do, so you'll have to work an extra job or hope to get promoted (which doesn't happen unless someone above you leaves).",0
"Everyone is helpful and willing to assist each other. Everyone is given an equal opportunity to serve customers based on the target of individual's sales. Hence, no disagreement.",1
Amazing Sales Leadership at edX.,1
"co-workers, atmosphere, free small ice cream every shift",1
Working for Aesop was a great experience. The thorough training when I started in 2014 was unparalleled. There is a sense of pride in working for a company who values the customer experience so much.,1
There are no cons I can think of.,0
Pretentious and culty upper management.,0
Great co-workers and good management.,1
generous staff discount very friendly and warm working environment free creative expression of identity gorgeous christmas staff party at the barbican,1
"Poor location within UK - hard to find accommodation in an area close to the HQ among other issues, many positions hourly paid (albeit at a reasonable rate)",0
100% remote working environment that values work life balance and provides good compensation.,1
London HQ is still new so need a bit of structure,0
No cons I can think of,0
long hours over all still fun,0
"For the most part a good salary, benefits - unlimited PTO, free learning (which continues after you leave company), wellness weeks",1
Toxic work environment from pass management and cooperate. Overlooked for a lot of promotions. More political than hardwork,0
Nothing to say for now.,0
"Hyper focused on culture fit, office is located close to Powell BART, large customer base, name recognition, easy to move between teams, modern Rails stack, you can screw up completely and no one will blame you, makes diversity a priority / has better than average diversity",1
"Laid back work culture, invests in employees, lots of gluten free and kosher options, good mission, contributes to social and economic causes.",1
Not enough hours. Management and team communications.,0
Not a lot of growth opportunities,0
very nice. good shoes tere.,1
"So many this is going to be a long list!

They claim living wages but being sent home from shifts early when quiet means so weeks you'd earn less than 200 quid.

The HR department is setup solely to cover the company and not look after the interests of the staff.

I was sexually assaulted in the bar by a drunk customer. I asked my manager to have him removed from the bar only to be told no as he was the managers friend and made to work right in front of him as he was sat at the bar. When I talked to my manager the next day his response was 'well if you felt that uncomfortable why didn't you walk out?', my response was 'i have a job to do'.

The manager would routinely get us to cook the books so he could use the safe as his presonal bank. When I objected to this my hours got cut as he didn't want me doing closes so he could continue with this practice.

Routinely sworn at during shifts when manager having a bad day. Even called a names via email for pointing out a flaw in his rotering.

The hire/fire attitude is off the scale, so much staff turnover. If you're looking for job security this isn't the place.

Made to sell beer that was knowingly off.

Bought 3k worth of shares, doubled to 6k with staff investment scheme, paid for them, told they had gone through and I was waiting on the certificate. When I left despite the company having had my money for 5 months I was told I could no longer have the staff bonus and the whole thing got cancelled.

The most cringeworthy media in the drinks business, likewise the owners.

Claim to be independent but have major investment from finance firms including money that comes from the sales or Pabst Blue Ribbon.",0
Leadership Growth Too many territories and people hired,0
"too much managerial oversight, profit too important",0
"I could go on and on on the cons. Almost every benefit that’s advertised when I began working there no longer exists. -Profit Share schemes were a joke, corporate even blocked work chats discussing displeasure with the results of it. -Hiring near constantly while running with barebones crew to skimp on money, left dealing with staff who had no idea what they’re doing (no fault of theirs) - A drink after your shift was always a nice way to wind down with your colleagues and discuss the hectic day, these are being axed - pay increase compared to workload increase going from regular staff to duty manager is ridiculous. You can earn more money in a lot of baseline bar jobs than you can as a manager at Brewdog - Certain managers are exceptional but more than most can be exceptionally rude and genuinely put you off wanting to come to work - a 1 pound pay increase was offered, bringing duty manager wage to 12.35 an hour, which is still super low considering the workload, but this increase is negated by the fact that your break is no longer going to be paid - anything under 10 hours now only grants you a 20 minute break, managers seem to rota 9 and a half hours quite a lot now… -company culture couldn’t be further than “punk”, don’t really know how they even feel comfortable using a term like that considering how corporate of a company they are. Come to Brewdog and express who you are! but only if who you are falls in line with what your manager wants! -Only takes a quick google of the company to reveal a lot about them…",0
"It's a pretty good Retail job
You'll have great skin and 50% discount is not bad not bad not bad",1
There are very flexible schedules.,1
"Every organization has its struggles, and Indiegogo certainly does. Continue focusing your efforts on training management and focusing on how we can make things better for our customers!",0
I don’t have any downsides really,0
"Little opportunity for advancement for part time employees, slow paced and somewhat boring (except for weekends),",0
"Very poor prioritisation
UX/Design lead is a micromanager
Engineering team needs more leadership",0
"Friendly colleagues and management teams, not bad salary and good extra bonus.",1
Durning busy season it tends to be super busy,0
"Beer industry currently tumultuous, down with seltzers",0
- not much progression in sales,0
Not very good communication by staff,0
Smaller company with some less established engineering practices.,0
"Now that they've been purchased and are no longer a non-profit, I'm sure plenty of thing have changed. However, while I was there, leadership had trouble with understanding how to create strategy.
Additionally, they had trouble communicating changes/with transparency.",0
"Great money and open ears, great coworkers",1
"- Commission structure
- Targets sometimes very high and unachievable so commission cannot be made
- Progression can be made but Business Manager is the highest position most people can get to as there is no other growth roots",0
"Great benefits, perks, and awesome culture",1
No cons for this job,0
You might get some strange customers.,0
"- No movement for growth 
- Poor advocacy in management/HR 
- Poor management/high turnover
- Inconsistent scheduling/ does not work with personal availability
- No commission with the expectations to exceed sales and service goals",0
"The people are the best part of working for BrewDog; likeminded and passionate about the success of the company and sharing a love and knowledge of great beer. Everyone is so accepting and will always offer help when needed, even when it's not even remotely their job.The benefits are insane - from the profit share scheme to getting a wee pay-rise every time you pass a beer exam, the management team are really focussed on making it the best place to work. Every day is different which won't suit everyone but it keeps things interesting! Plus free beer every month - what's not to love about that?!",1
Great training and benefits with product allocation,1
Great management team in store.,1
Sometimes hard to hit sales target resulting in low commission,0
"The work could be fast-paced during busy times, but the team was always supportive and encouraging. We worked together well. Overall, working at Ben & Jerry's as a scooper was a great experience. The company culture, values, and commitment to making a positive impact in the world make it a unique and fulfilling place to work.",1
"Fun Fast working environment
Engaging Managers",1
"Interesting to work with other teams from around the world, if you work in the global team.",1
The best thing about edX is their employees. Many of them took pay cuts from other positions in order to work at a non-profit where they would be able to further the cause of education for the world. The benefits are also excellent. I was thrilled to be working on a project that was open-source and interacting positively with educators and students.,1
Good work hours and people,1
"Flexible work; great employee discounts, awesome business culture",1
little action gets very boring,0
Company is growing year on year with no indication of slowing down.,1
Had free time. Management was easy goin. Free icecream,1
None I can think of,0
"Low pay for management, ignorance on certain back of house issues,",0
They have nice work environment.,1
staff discount allowance good training work life balance,1
The high school gossip culture.,0
"Pay can be a little lower than in other places due to all the benefits, and design software and hardware are a little outdated. Additionally, there is a pretty linear line of growth in design. However, if you are primarily a packaging or marketing designer you will do well here.",0
"Insular company mentality which, in retrospect, took over my life for the time I worked there. Not enough recognition for the work I did, and some bad hiring decisions made everyone’s jobs harder.",0
"Amazing team of people who all work exceptionally hard to achieve the same goal - make other people as passionate about craft beer as we are! 

You can walk in in the morning and learn something completely new every day. 

The Staff Benefits are the best I've ever had, and probably the best I will ever have!",1
"Global firm allows work from home
CTC is very good on paper with all the bonuses, etc but what you get is nothing!",1
Too many changes all at once,0
"Sometimes communication is not always as fluid as it needs to be, more formal communication could stop the chinese whisper effect. 
The owners could be more visible. 
Because the company is fast paced it feels like you are being thrown in the deep end, you can feel isolated as if you can't cope but after a couple of weeks you storm it.",0
Casual dress code.Really nice people at the junior and manager levels,1
"Loved the environment, nurturing manager, great co-workers. Would recommend for students who want to work part-time",1
gratis was a nice perk of the job,1
50% discount and you get a pair of free shoes,1
Very poor leadership starting with the CEO,0
can be stressful on busy days with high demand for production . overall there isn't anything one should be worried of,0
"Supportive environment, fun brand, great work life balance.",1
I wish we had more in store materials in Korean and Japanese  and Chinese. Many buyers where not American nationals and it was hard to help them,0
"poor management
aggressive goals
soul crushing",0
Management doesn't care about providing universal access to the world’s best education anymore. All they care about is selling degrees,0
"A group of caring and funny individuals, who band together toward their ideals. Charismatic CEO. Fearless leadership. Empowering group. Lives by their values (Fearlessness, Authenticity, Collaboration, Empowerment). Small enough team to cross-collaborate across teams.",1
"Fun environment, easy work, sometimes stressful during rush.",1
"Good company philosophy, easy job.",1
Great people. Great remote culture,1
"- leveling system is horrible, they want to keep you at the lowest possible level for as long as possible, people who deserve to be a higher level aren't and people who are higher level shouldn't be
- huge attrition rate for ICs and middle management, but no retention strategy
- very political 
- no transparency despite a company value of ""deep honesty""",0
free products and samples to try.,1
"decent pay, 401k, delicious ice cream",1
Work can be prolonged during the fall and spring. There can be rude customers. Hours were not very flexible.,0
"Cool co-workers, free beer, generally nice atmosphere, some mature & compassionate managers",1
"Friendly environment 
Understanding of school schedule",1
Low pay and low hours,0
"Collegial work environment, empowerment, and upward movement into new spaces.",1
"Long working hours, competitive environment",0
Petty/catty HR and department managers. Manipulative communication style and retaliation from managers.,0
Loads of benefits to be had.,1
"Unclear business goals, a lot of change and ambiguity which can result in unclear or changing objectives",0
Could be very busy during summer times,0
"Creative, Flexible, Entrepreneurial, Community oriented, Fun",1
No cons ! Amazing company to work for !,0
"- Horrible upper mananget
- No growth unless you are favorited",0
"Great, supportive culture - the team I work with are all lovely and non-pretentious.

Opportunity for growth within the company.

Management and head office listen and seem genuinely interested to hear feedback from staff.

A lot of free products and generous 50% staff discount. Overall, the company are very generous e.g. providing cab charges to staff working seasonal late-night shifts.

Customers are usually nice and polite - a welcome change from previous customer service roles I worked.

Pretty good pay and penalty rates.

Opportunities to claim shifts and work across various sites.

Good, thorough introductory training and training when new products are released.

Flexible work hours and seem very relaxed with staff calling in late or sick or needing to get rid of a shift.",1
"Healthy working environment, big company, interaction with other brands",1
Retail is not for everyone,0
"- Great original mission
- Close to the Castro district in Mountain View",1
sometimes the hours are long,0
I didn't have any bad experiences except for my arm hurting from scooping so much ice cream on free cone day! lol,0
"Great team
Lot to learn if you perform well (team management...)",1
"Tasting new beers,company discounts,fun work environment",1
"- work from home Wednesday
- great people
- good mission",1
decisions from district and regional level have gotten worse,0
Awesome benefits and flexible schedule,1
"My Toms colleagues are some of the most amazing people you will ever meet. I've never worked with such a helpful team of people. The teammates of my department were extremely pleasant and generous people. Everyone was willing to lend a hand, help tutor and teach, swap projects according to workload, etc. The lead of my department was beyond talented, gave the most professional and motivating constructive critique, and was very down to earth. It was also easy to communicate across the other departments. And I certainly didn't mind the free coffee, discounted shoes, and happy hours.",1
"No organization, Screening is lax, Job is overfilled",0
"Flexible hour, good benefits, free lunch, snacks, 401k match, social events. You will receive MIT employee benefits. That is all.",1
Pay more to your guys,0
"Very relaxed on handling internal conflict
HR is useless in resolving issues
Online department hangs up on customers constantly",0
Received free goods from Kiehl’s for new launches and after onboarding.,1
many benefits for all units,1
working and dealing with hungry people,0
Work week varies by week,0
Still working through growing pains.,0
very easy job to do,1
"Lots of free shoes, benefits, flexible hours",1
The best part about working here is that you get to work around ice cream! I personally enjoyed being around everyone. All the kids and elderly that would come in it was fun.,1
"Good atmosphere, great work mate",1
There are not any cons,0
kind workers and very welcoming,1
"If you start off in customer service it may get a little frustrating. Some customers are very angry and demanding. But then again, thats the case with most retail jobs. I will say that TOMS works with you to keep the customer happy though.",0
No ideas is too big or small,1
"In the summer it is really fast paced, so just can get a little tiring.",0
"Cool coworkers, nice discount, good retail experience, decent pay",1
"Like any startup, Indiegogo has had its ups and downs, and sometimes people like to latch onto one bad quarter as a reason to complain. A small group of employees here are not the most appreciative of the workspace and like to complain.

Targets can be quite aggressive which can be exciting for some but stressful for others.

Since Indiegogo is so flexible and understanding about work schedule and styles, sometimes work load gets unevenly distributed as people take advantage of the generosity of the system way too much.",0
lots of pressure to upsell items,0
G.Door says I have to post at least five words in this section.,1
"TOMS employees are welcoming, supportive, and friendly. TOMS compensation, benefits, and HR policies are generous. The TOMS work environment is open, fun, and conducive to creative work. Perks like free coffee bar, happy hour Fridays, and free shoes are nice, but what makes TOMS a special place to work?

Even with the enormous success of the last several years, and the growth, TOMS is still small enough that my individual impact is felt every day, hard work is noticed and appreciated, and failures too. This is not a company for people who want to hide and just come to a job.

When I think about how and where I want to spend most of my waking hours, I want to work hard, feel valued, be compensated, and grow as a person and professional. TOMS is an exceptional place to have all of those things. 

TOMS has added management and structure, but the organization is still very flat. There is a small group of executive level managers and the CEO. There are some additional levels of management but the titles don't really drive the way people interact. I have worked in organizations where it seemed almost everybody was some type of manager from AVP (Associate VP), VP, SVP (senior VP), EVP (Executive VP), SEVP (Senior Executive VP) (seriously). How you were treated in those companies and your ability to get anything done depended on which of those letters followed your name. 

Some people prefer the structure and predictability of these organizations, where the career ladder is a clear path from the bottom to the top and if you're not interested in climbing that ladder, you can hide and put in a minimal effort. It won't really put your job or the organization at risk. 

Some of the negative reviewers talk about a company that they don't recognize anymore. They reminisce about a better time, and wish that TOMS was still the scrappy club of interns working out of a small warehouse. Fortunately for millions of people on the receiving end of TOMS generous giving, TOMS survived and has grown beyond it's start-up days. Unfortunately for some early team members, that growth brought structural change and organizational rigor that is not for them. 

If you want the freedom and craziness of a start-up, with hungry entrepreneurs working out of an apartment, then TOMS might feel too structured. If you prefer the structure and predictability of a large company, TOMS may feel too laid back, and maybe even chaotic. 

Many of the early employees deserve credit for their part in launching something truly special. However, TOMS can't remain a cool start-up forever. Some of the management is no-nonsense, some of the employees have egos, and some days it feels like a job. But, it's almost always fun and almost always rewarding. I would never want to go back to my old employers, and they will have to drag me kicking and screaming out of here.",1
Nothing at all. Really fun job,0
More gratuities should be given,0
Physically tiring. Other than that experience was great,0
change in management was regular.,0
"The enire Loreal Enterprise is extrememly unorganized and unprofessional! They Do Not treat their employees with respect, and upper management is racist",0
Thankfully my last half year I had a good manager; and friendly team,1
"-Can still be very 'startup-y' in terms of organizational structure, HR/bookkeeping, information management, etc. With the flexibility and independence of working at a start up comes the BS too---different teams using different processes and platforms to communicate and store information and the disorganization that follows from that, sometimes unclear roles/hierarchies/career paths, snafus in tracking PTO or transferring benefit plans, etc. This is clearly something management is working to improve but there is still progress to be made.
-Comp and perks are very solid and would be considered generous anywhere else in the United States, but do not match the highest levels of opulence offered in SF/Silicon Valley",0
"The problems with brewdog are they use the word invest to potential investors when in all reality it is crowd funding and there is 0 return on your ""investment"". Also if you are a salary manager you can expect to work far past 40 hours a week with little to no compensation for your time leaving your social/work life a absolute wreck.",0
Colleagues within the team and across the Company,1
"Hours can be long, especially in Summer months",0
"Indiegogo was founded with a very strong social mission, and although the focus on entrepreneurial projects has increased over time, the social mission is still intact within the people who work here and the company ethos. There are many very passionate people who work at Indiegogo who care deeply about things outside of work, which makes it a very interesting and enjoyable place to work. It's also pretty fun, employees organize happy hours frequently and every few months organize an unofficial employee trip to Tahoe or the Russian River. Also, major opportunity to grow professionally and take ownership of a new project or develop skills and transfer to a completely new team. Many people who run large programs now were given the opportunity to supervise a small pilot that then became very successful. Also, many people who started on customer support teams have grown their skills and are now working on product management, design, sales, and strategy teams. Probably most importantly people very rarely burn out. High stress level is not the norm.",1
"colleagues, family values, your opinions are heard and they matter.",1
"- The working culture is amazing, managers are treating you well",1
Secret Shoppers and random inspections - since this store is part of a franchise there are random checks to make sure we are consistent with the other stores,0
"- Culture that is supportive and it’s the people that make the company great. 
- Leadership looks to always improve ways working addressing the needs of a growing company
- Lots of opportunities to be the driver of your own career",1
Super positive environment and a great place to work,1
the job is super easy and working at sawgrass mall you made a decent amount of tips,1
"Stock package is not designed to retain talent. 
Most employees work more like 50-60 hours per week.
Parent leave is minimal- especially compared to other tech companies.",0
"Fair treatment of employees 
Independency",1
Good salary and great collaborative atmosphere,1
The tips were very good,1
No reason to work here,1
"The company is growing quickly and structuring itself as it goes, as well as implementing structural changes, which may impact negatively in some employees.

Hired mass  consultants  who don't align with the company's values.

Management is very far from the Australia's head office standard",0
"Flexible, Independent, Education, Side Hustle",1
